subject_id,split
aaaaalfj,train
aaaaangp,train
aaaaamuc,train
aaaaakfq,train
aaaaafwz,train
aaaaadmi,train
aaaaatjz,train
aaaaaall,train
aaaaanyf,train
aaaaaezn,train
aaaaaoby,train
aaaaanzh,train
aaaaakdo,train
aaaaaibx,train
aaaaakft,train
aaaaanji,train
aaaaaphs,train
aaaaaohr,train
aaaaabsk,train
aaaaajoa,train
aaaaajoe,train
aaaaapkv,train
aaaaanpr,train
aaaaagvx,train
aaaaahte,train
aaaaammu,train
aaaaanhb,train
aaaaachj,train
aaaaaoav,train
aaaaaike,train
aaaaapmb,train
aaaaakka,train
aaaaankc,train
aaaaalth,train
aaaaamcr,train
aaaaaiat,train
aaaaamsc,train
aaaaajns,train
aaaaafsb,train
aaaaapxk,train
aaaaamon,train
aaaaappv,train
aaaaahzs,train
aaaaaezj,train
aaaaaayg,train
aaaaaluz,train
aaaaaofj,train
aaaaanta,train
aaaaalqa,train
aaaaaora,train
aaaaalzg,train
aaaaambs,train
aaaaanlp,train
aaaaakdj,train
aaaaaozv,train
aaaaaosh,train
aaaaamyb,train
aaaaakbz,train
aaaaajrf,train
aaaaabuv,train
aaaaajso,train
aaaaampz,train
aaaaajuh,train
aaaaajqb,train
aaaaaovn,train
aaaaaosa,train
aaaaadao,train
aaaaajqu,train
aaaaamyc,train
aaaaamqc,train
aaaaalaf,train
aaaaapex,train
aaaaajqk,train
aaaaajam,train
aaaaacad,train
aaaaalco,train
aaaaamob,train
aaaaanwc,train
aaaaaenq,train
aaaaanoz,train
aaaaamxn,train
aaaaaiby,train
aaaaabdo,train
aaaaajjb,train
aaaaagsc,train
aaaaaobi,train
aaaaanqe,train
aaaaapas,train
aaaaamzi,train
aaaaakcy,train
aaaaakeq,train
aaaaalbt,train
aaaaalmh,train
aaaaanxz,train
aaaaaogd,train
aaaaanrc,train
aaaaalsq,train
aaaaapar,train
aaaaaomy,train
aaaaanvb,train
aaaaakxz,train
aaaaakqr,train
aaaaanbp,train
aaaaamzf,train
aaaaamoa,train
aaaaajqh,train
aaaaamyy,train
aaaaanro,train
aaaaahuy,train
aaaaapnl,train
aaaaalxk,train
aaaaaons,train
aaaaanvw,train
aaaaanwj,train
aaaaalid,train
aaaaakck,train
aaaaakmg,train
aaaaajpf,train
aaaaaouk,train
aaaaaijh,train
aaaaamnq,train
aaaaahzm,train
aaaaanzu,train
aaaaanyw,train
aaaaajqo,train
aaaaapcu,train
aaaaaicc,train
aaaaaiyu,train
aaaaaohw,train
aaaaaksb,train
aaaaafcf,train
aaaaankf,train
aaaaakev,train
aaaaamrj,train
aaaaaprj,train
aaaaaogk,train
aaaaanvg,train
aaaaajrj,train
aaaaanxl,train
aaaaaelb,train
aaaaaljj,train
aaaaagcs,train
aaaaagqb,train
aaaaajtu,train
aaaaanyc,train
aaaaajfk,train
aaaaanyt,train
aaaaamhb,train
aaaaaiae,train
aaaaaoiv,val
aaaaajoo,val
aaaaamhj,val
aaaaacyf,val
aaaaalqs,val
aaaaapkx,val
aaaaakgp,val
aaaaaeab,val
aaaaanbq,val
aaaaacby,val
aaaaadjk,val
aaaaaout,val
aaaaabms,val
aaaaaimu,val
aaaaapmp,val
aaaaafhl,val
aaaaajah,val
aaaaaoeg,val
aaaaakqg,val
aaaaapks,val
aaaaapcr,val
aaaaamdq,val
aaaaaovo,val
aaaaaovl,val
aaaaajzm,val
aaaaaaju,val
aaaaabiw,val
aaaaaels,val
aaaaafdh,val
aaaaaowf,val
aaaaagxr,val
aaaaadeu,val
aaaaanyb,test
aaaaamdu,test
aaaaaoxr,test
aaaaamzl,test
aaaaaoda,test
aaaaaktz,test
aaaaabbn,test
aaaaaltw,test
aaaaajys,test
aaaaansj,test
aaaaallc,test
aaaaakcv,test
aaaaakxo,test
aaaaaguk,test
aaaaaizu,test
aaaaamzv,test
aaaaapqh,test
aaaaaiue,test
aaaaanum,test
aaaaalvw,test
aaaaaloy,test
aaaaaayx,test
aaaaalox,test
aaaaadsm,test
aaaaaarq,test
aaaaaobl,test
aaaaamtj,test
aaaaakcx,test
aaaaaksu,test
aaaaabnn,test
aaaaapre,test
aaaaalnt,test
