subject_id,split
aaaaanrc,train
aaaaajns,train
aaaaappv,train
aaaaajqo,train
aaaaalzg,train
aaaaakeq,train
aaaaapks,train
aaaaabnn,train
aaaaanyw,train
aaaaalbt,train
aaaaaoav,train
aaaaajah,train
aaaaahte,train
aaaaafwz,train
aaaaadao,train
aaaaacad,train
aaaaakqg,train
aaaaaout,train
aaaaakqr,train
aaaaanvw,train
aaaaanyb,train
aaaaambs,train
aaaaanqe,train
aaaaaovo,train
aaaaajoe,train
aaaaaayx,train
aaaaakgp,train
aaaaaohw,train
aaaaaksu,train
aaaaafdh,train
aaaaalmh,train
aaaaamqc,train
aaaaaowf,train
aaaaaarq,train
aaaaanji,train
aaaaaofj,train
aaaaachj,train
aaaaajjb,train
aaaaamzi,train
aaaaanxz,train
aaaaammu,train
aaaaaoda,train
aaaaajzm,train
aaaaanzu,train
aaaaakxz,train
aaaaakfq,train
aaaaahzm,train
aaaaabdo,train
aaaaaksb,train
aaaaadsm,train
aaaaajuh,train
aaaaaora,train
aaaaaiae,train
aaaaamdq,train
aaaaabuv,train
aaaaakcx,train
aaaaangp,train
aaaaajrj,train
aaaaamhb,train
aaaaabiw,train
aaaaacyf,train
aaaaakbz,train
aaaaagqb,train
aaaaamob,train
aaaaalth,train
aaaaagsc,train
aaaaaogk,train
aaaaamzv,train
aaaaaijh,train
aaaaamuc,train
aaaaakka,train
aaaaaobi,train
aaaaamoa,train
aaaaanyf,train
aaaaaiat,train
aaaaanro,train
aaaaahzs,train
aaaaajqh,train
aaaaanwj,train
aaaaaoiv,train
aaaaamsc,train
aaaaamxn,train
aaaaanbq,train
aaaaaibx,train
aaaaapmp,train
aaaaalnt,train
aaaaanta,train
aaaaamrj,train
aaaaakdo,train
aaaaaall,train
aaaaaoeg,train
aaaaaosh,train
aaaaakck,train
aaaaalaf,train
aaaaakft,train
aaaaakdj,train
aaaaaeab,train
aaaaacby,train
aaaaamon,train
aaaaaljj,train
aaaaakxo,train
aaaaapas,train
aaaaabbn,train
aaaaadmi,train
aaaaajrf,train
aaaaamyc,train
aaaaafcf,train
aaaaaaju,train
aaaaalfj,train
aaaaaouk,train
aaaaaprj,train
aaaaajqu,train
aaaaapcr,train
aaaaaels,train
aaaaanyc,train
aaaaaezj,train
aaaaaphs,train
aaaaaovl,train
aaaaamdu,train
aaaaajtu,train
aaaaaenq,train
aaaaanxl,train
aaaaamhj,train
aaaaalsq,train
aaaaagvx,train
aaaaamtj,train
aaaaaozv,train
aaaaakcy,train
aaaaamzl,train
aaaaanyt,train
aaaaaiue,train
aaaaajys,train
aaaaalid,train
aaaaaizu,train
aaaaajpf,train
aaaaamcr,train
aaaaaimu,train
aaaaajoa,train
aaaaaovn,train
aaaaanhb,train
aaaaaogd,train
aaaaaoxr,train
aaaaanzh,train
aaaaapqh,train
aaaaadeu,train
aaaaanbp,train
aaaaaayg,train
aaaaaons,train
aaaaamzf,train
aaaaajso,val
aaaaapkv,val
aaaaanpr,val
aaaaanoz,val
aaaaansj,val
aaaaakcv,val
aaaaanwc,val
aaaaaktz,val
aaaaapmb,val
aaaaapxk,val
aaaaalqa,val
aaaaakev,val
aaaaaohr,val
aaaaalxk,val
aaaaaiby,val
aaaaaosa,val
aaaaamyb,val
aaaaajam,val
aaaaanvb,val
aaaaajfk,val
aaaaankf,val
aaaaaicc,val
aaaaapkx,val
aaaaaezn,val
aaaaapnl,val
aaaaamnq,val
aaaaapar,val
aaaaampz,val
aaaaafhl,val
aaaaajqk,val
aaaaagcs,val
aaaaaelb,test
aaaaapex,test
aaaaaobl,test
aaaaaiyu,test
aaaaabsk,test
aaaaaoby,test
aaaaapre,test
aaaaajoo,test
aaaaankc,test
aaaaafsb,test
aaaaabms,test
aaaaaike,test
aaaaatjz,test
aaaaahuy,test
aaaaalqs,test
aaaaalox,test
aaaaaluz,test
aaaaalvw,test
aaaaanum,test
aaaaamyy,test
aaaaanvg,test
aaaaaguk,test
aaaaallc,test
aaaaaloy,test
aaaaadjk,test
aaaaaomy,test
aaaaakmg,test
aaaaalco,test
aaaaaltw,test
aaaaagxr,test
aaaaapcu,test
aaaaanlp,test
aaaaajqb,test
